"Index","Mot","Définition","Type"
"1","délation","dénonciation particulièrement méprisable","nom"
"2","duplicité","comportement hypocrite, jeu double","nom"
"3","gloriole","vanité, désir d'être admiré","nom"
"4","impudence","l'audace, l'effronterie","nom"
"5","infamie","action déshonorable, honteuse","nom"
"6","malversations","opérations malhonnêtes portant sur des sommes d'argent","nom"
"7","parjure","violation d'un serment","nom"
"8","suffisance","prétention, vanité","nom"
"9","vergogne","manque de pudeur ou de honte","nom"
"10","tare","infirmité ou défaut souvent d'ordre moral ou physique","nom"
"11","infamie","action honteuse","nom"
"12","compromission","acte qui compromet la réputation","nom"
"13","malignité","caractère méchant qui cherche à nuire","nom"
"14","malversations","détournements ou fraudes financières","nom"
"15","outrage","injure grave, offense à l'honneur de quelqu'un","nom"
"16","outrecuidance","effronterie, audace excessive","nom"
"17","perfidie","traîtrise, manquement à la parole donnée","nom"
"18","perversion","dépravation, dévoiement moral","nom"
"19","sadisme","plaisir à faire souffrir les autres","nom"
"20","avilissement","dénaturation morale, déchéance progressive","nom"
"21","fatuité","satisfaction excessive de soi-même","nom"
"22","scélérat","personne criminelle ou très coupable","nom"
"23","vice","grave défaut moral","nom"
"24","imposteur","qui se fait passer pour quelqu'un d'autre","nom"
